 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649 ,10MU,0.00551594,0.673,96.43%,,0.055,0.1,>100,,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649 ,50MU,0.0275797,0.807,80.42%,,0.276,0.1,,,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649 ,100MU,0.0551594,0.933,69.56%,,0.055,1,,,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,#DIV/0!,,,,,,,,,,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,,,,,,,,,,,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,,,,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,#DIV/0!,,,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,,,,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,,,,,,,,,,,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754 ,10MU,0.00347247,0.692,108.96%,,0.035,0.1,>100,,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754 ,50MU,0.01736235,1.158,65.11%,,0.174,0.1,,,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754 ,100MU,0.0347247,1.463,51.54%,,0.035,1,,,
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.780 ,10MU,0.00420126,0.767,101.63%,,0.042,0.1,86.9,,
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.780 ,50MU,0.0210063,0.804,96.95%,,0.210,0.1,,,
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.780 ,100MU,0.0420126,2.341,33.30%,,0.042,1,,,
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871 ,10MU,0.00365824,0.886,98.25%,,0.037,0.1,>100,,
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871 ,50MU,0.0182912,0.864,100.75%,,0.183,0.1,,,
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871 ,100MU,0.0365824,1.02,85.34%,,0.037,1,,,
5.80,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982 ,10MU,0.00101459,,,81.07%,0.101,0.01,not usable,,
5.80,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982 ,50MU,0.00507295,4.526,21.70%,75.74%,0.051,0.1,,,
5.80,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982 ,100MU,0.0101459,2.33,42.15%,73.24%,0.101,0.1,,,
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836 ,1MU,0.00115749,1.06,78.87%,,0.116,0.01,2.23,,
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836 ,3MU,0.00347247,2.626,31.84%,,0.347,0.01,,,
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836 ,6MU,0.00694494,14.641,5.71%,,0.069,0.1,,,
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669 ,1MU,0.000397262,0.734,91.08%,,0.040,0.01,4.22,,
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669 ,3MU,0.001191786,0.83,80.54%,,0.119,0.01,,,
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669 ,6MU,0.002383572,12.141,5.51%,,0.024,0.1,,,
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762 ,1MU,0.000397262,0.751,101.46%,,0.040,0.01,3.96,,
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762 ,3MU,0.001191786,1.105,68.96%,,0.119,0.01,,,
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762 ,6MU,0.002383572,7.889,9.66%,,0.024,0.1,,,
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164 ,1MU,0.000047157,0.994,117.05%,,0.047,0.001,3.13,,
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164 ,3MU,0.000141471,2.229,52.20%,,0.014,0.01,,,
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164 ,6MU,0.000282942,32.162,3.62%,,0.028,0.01,,,
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,  1.341 ,0.917,1.129 ,1MU,0.000047157,1.273,88.69%,,0.047,0.001,4.47,,
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,  1.341 ,0.917,1.129 ,3MU,0.000141471,1.426,79.17%,,0.014,0.01,,,
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,  1.341 ,0.917,1.129 ,6MU,0.000282942,5.734,19.69%,,0.028,0.01,,,
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793 ,1MU,0.000337244,0.767,103.39%,57.79%,0.034,0.01,not usable,,
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793 ,3MU,0.001011732,4.118,19.26%,52.30%,0.101,0.01,,,
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793 ,6MU,0.002023464,,,62.04%,,,,,
,,,,,,,,,,,,,,,,,,
  6.126 ,T.c.,Leoni Meadows,83.4,621,825,0.555,0.378,0.467 ,25MU,0.02979465,0.957,48.75%,,0.060,0.5,25,,
  6.127 ,T.c.,Leoni Meadows,112.9,630,811,0.503,0.874,0.689 ,50MU,0.08066705,0.841,81.87%,,0.161,0.5,>50,,
  6.127 ,T.c.,Leoni Meadows,112.9,630,811,0.503,0.874,0.689 ,25MU,0.040333525,0.725,94.97%,,0.081,0.5,,,
  6.128 ,T.c.,Leoni Meadows,133.3,678,877,0.672,0.766,0.719 ,50MU,0.09524285,1.492,48.19%,,0.190,0.5,47.5,,
  6.128 ,T.c.,Leoni Meadows,133.3,678,877,0.672,0.766,0.719 ,25MU,0.047621425,1.087,66.15%,,0.095,0.5,,,
  6.129 ,T.c.,Leoni Meadows,219.2,723,944,0.606,0.742,0.674 ,50MU,0.1566184,5.329,12.65%,,0.313,0.5,37.5,,
  6.129 ,T.c.,Leoni Meadows,219.2,723,944,0.606,0.742,0.674 ,25MU,0.0783092,0.771,87.42%,,0.157,0.5,,,
  6.130 ,T.c.,Leoni Meadows,65.9,568,736,0.602,0.805,0.704 ,50MU,0.04708555,1.81,38.87%,,0.094,0.5,42,,
  6.130 ,T.c.,Leoni Meadows,65.9,568,736,0.602,0.805,0.704 ,25MU,0.023542775,0.951,73.97%,,0.047,0.5,,,
  6.131 ,T.c.,Leoni Meadows,2.9,216,275,1.149,1.098,1.124 ,50MU,0.00207205,3.215,34.95%,,0.041,0.05,27.3,,
  6.131 ,T.c.,Leoni Meadows,2.9,216,275,1.149,1.098,1.124 ,25MU,0.001036025,2.178,51.58%,,0.021,0.05,,,
  6.132 ,T.c.,Leoni Meadows,5.7,238,312,1.103,1.143,1.123 ,50MU,0.00407265,1.482,75.78%,,0.081,0.05,>50,,
  6.132 ,T.c.,Leoni Meadows,5.7,238,312,1.103,1.143,1.123 ,25MU,0.002036325,1.543,72.78%,,0.041,0.05,,,
  6.133 ,T.c.,Leoni Meadows,5.6,284,376,0.996,0.855,0.926 ,50MU,0.0040012,1.444,64.09%,,0.080,0.05,>50,,
  6.133 ,T.c.,Leoni Meadows,5.6,284,376,0.996,0.855,0.926 ,25MU,0.0020006,1.083,85.46%,,0.040,0.05,,,
  6.182 ,T.c.,Dogtown Cr.,127,694,887,  0.761 ,  0.765 ,0.763 ,25MU,0.04537075,0.839,90.94%,,0.091,0.5,39,,
  6.182 ,T.c.,Dogtown Cr.,127,694,887,  0.761 ,  0.765 ,0.763 ,50MU,0.0907415,4.31,17.70%,,0.181,0.5,,,
  6.183 ,T.c.,Dogtown Cr.,99.8,602,793,  0.787 ,  0.613 ,0.700 ,25MU,0.03565355,1.136,61.62%,,0.071,0.5,31.6,,
  6.183 ,T.c.,Dogtown Cr.,99.8,602,793,  0.787 ,  0.613 ,0.700 ,50MU,0.0713071,3.954,17.70%,,0.143,0.5,,,
  6.226 ,T.c.,Beauty Lake,78.2,605,886,  0.652 ,  0.510 ,0.581 ,1MU,0.001117478,0.633,91.79%,,0.112,0.01,6.3,,
  6.226 ,T.c.,Beauty Lake,78.2,605,886,  0.652 ,  0.510 ,0.581 ,3MU,0.003352434,0.627,92.66%,,0.067,0.05,,,
  6.226 ,T.c.,Beauty Lake,78.2,605,886,  0.652 ,  0.510 ,0.581 ,10MU,0.01117478,2.07,28.07%,,0.112,0.1,,,
  6.227 ,T.c.,Beauty Lake,16.4,367,479,  0.620 ,  0.672 ,0.646 ,1MU,0.000234356,0.591,109.31%,,0.047,0.005,7.46,,
  6.227 ,T.c.,Beauty Lake,16.4,367,479,  0.620 ,  0.672 ,0.646 ,3MU,0.000703068,0.724,89.23%,,0.070,0.01,,,
  6.227 ,T.c.,Beauty Lake,16.4,367,479,  0.620 ,  0.672 ,0.646 ,10MU,0.00234356,2.335,27.67%,,0.047,0.05,,,
,,,,,,,,,,,,,,,,,,
 INDIV ,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,,
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876 ,10MU,0.000693065,  1.122 ,78.03%,0.00001429,0.069,0.01,>50,,
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876 ,25MU,0.0017326625,  1.228 ,71.29%,,0.069,0.025,,,
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876 ,50MU,0.003465325,  1.272 ,68.83%,,0.035,0.1,,,
ZA02,T.c.,Dogtown Cr.,4.9,224,293,  1.022 ,  0.700 ,0.861 ,10MU,0.00070021,  1.346 ,63.97%,,0.070,0.01,>50,,
ZA02,T.c.,Dogtown Cr.,4.9,224,293,  1.022 ,  0.700 ,0.861 ,25MU,0.001750525,  1.150 ,74.87%,,0.070,0.025,,,
ZA02,T.c.,Dogtown Cr.,4.9,224,293,  1.022 ,  0.700 ,0.861 ,50MU,0.00350105,  1.509 ,57.06%,,0.035,0.1,,,
ZA03,T.c.,Dogtown Cr.,4.86,226,293,  0.919 ,  0.725 ,0.822 ,10MU,0.000694494,  0.722 ,113.85%,,0.069,0.01,>50,,
ZA03,T.c.,Dogtown Cr.,4.86,226,293,  0.919 ,  0.725 ,0.822 ,25MU,0.001736235,  1.212 ,67.82%,,0.069,0.025,,,
ZA03,T.c.,Dogtown Cr.,4.86,226,293,  0.919 ,  0.725 ,0.822 ,50MU,0.00347247,  1.277 ,64.37%,,0.035,0.1,,,
ZA04,T.c.,Dogtown Cr.,4.75,231,298,  0.913 ,  0.647 ,0.780 ,10MU,0.000678775,  1.209 ,64.52%,,0.068,0.01,>50,,
ZA04,T.c.,Dogtown Cr.,4.75,231,298,  0.913 ,  0.647 ,0.780 ,25MU,0.0016969375,  1.345 ,57.99%,,0.068,0.025,,,
ZA04,T.c.,Dogtown Cr.,4.75,231,298,  0.913 ,  0.647 ,0.780 ,50MU,0.003393875,  1.232 ,63.31%,,0.034,0.1,,,
ZA05,T.c.,Dogtown Cr.,4.53,224,291,  0.883 ,  0.677 ,0.780 ,10MU,0.000647337,  1.021 ,76.40%,,0.065,0.01,>50,,
ZA05,T.c.,Dogtown Cr.,4.53,224,291,  0.883 ,  0.677 ,0.780 ,25MU,0.0016183425,  1.294 ,60.28%,,0.065,0.025,,,
ZA05,T.c.,Dogtown Cr.,4.53,224,291,  0.883 ,  0.677 ,0.780 ,50MU,0.003236685,  1.125 ,69.33%,,0.032,0.1,,,
ZA06,T.c.,Dogtown Cr.,4.38,222,290,  0.856 ,  1.144 ,1.000 ,10MU,0.000625902,  0.958 ,104.38%,,0.063,0.01,>50,,
ZA06,T.c.,Dogtown Cr.,4.38,222,290,  0.856 ,  1.144 ,1.000 ,25MU,0.001564755,  1.147 ,87.18%,,0.063,0.025,,,
ZA06,T.c.,Dogtown Cr.,4.38,222,290,  0.856 ,  1.144 ,1.000 ,50MU,0.00312951,  1.062 ,94.16%,,0.031,0.1,,,
ZA07,T.c.,Dogtown Cr.,4.07,215,275,  1.078 ,  0.913 ,0.996 ,10MU,0.000581603,  1.286 ,77.41%,,0.058,0.01,>50,,
ZA07,T.c.,Dogtown Cr.,4.07,215,275,  1.078 ,  0.913 ,0.996 ,25MU,0.0014540075,  0.813 ,122.45%,,0.058,0.025,,,
ZA07,T.c.,Dogtown Cr.,4.07,215,275,  1.078 ,  0.913 ,0.996 ,50MU,0.002908015,  1.182 ,84.22%,,0.029,0.1,,,
ZA08,T.c.,Dogtown Cr.,4.81,223,297,  1.068 ,  0.924 ,0.996 ,10MU,0.000687349,  0.827 ,120.44%,,0.069,0.01,>50,,
ZA08,T.c.,Dogtown Cr.,4.81,223,297,  1.068 ,  0.924 ,0.996 ,25MU,0.0017183725,  1.254 ,79.43%,,0.069,0.025,,,
ZA08,T.c.,Dogtown Cr.,4.81,223,297,  1.068 ,  0.924 ,0.996 ,50MU,0.003436745,  1.136 ,87.68%,,0.034,0.1,,,
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,  0.886 ,  0.771 ,0.829 ,10MU,0.000791666,  0.804 ,103.05%,,0.079,0.01,>50,,
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,  0.886 ,  0.771 ,0.829 ,25MU,0.001979165,  1.467 ,56.48%,,0.079,0.025,,,
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,  0.886 ,  0.771 ,0.829 ,50MU,0.00395833,  1.345 ,61.60%,,0.040,0.1,,,
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,  0.930 ,  0.700 ,0.815 ,10MU,0.000768802,  0.832 ,97.96%,,0.077,0.01,>50,,
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,  0.930 ,  0.700 ,0.815 ,25MU,0.001922005,  0.799 ,102.00%,,0.077,0.025,,,
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,  0.930 ,  0.700 ,0.815 ,50MU,0.00384401,  1.139 ,71.55%,,0.038,0.1,,,
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,  0.993 ,  1.039 ,1.016 ,10MU,0.000778805,  0.849 ,119.67%,,0.078,0.01,>50,,
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,  0.993 ,  1.039 ,1.016 ,25MU,0.0019470125,  0.907 ,112.02%,,0.078,0.025,,,
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,  0.993 ,  1.039 ,1.016 ,50MU,0.003894025,  1.140 ,89.12%,,0.039,0.1,,,
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,  1.024 ,  0.853 ,0.939 ,10MU,0.000768802,  0.871 ,107.75%,,0.077,0.01,>50,,
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,  1.024 ,  0.853 ,0.939 ,25MU,0.001922005,  0.900 ,104.28%,,0.077,0.025,,,
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,  1.024 ,  0.853 ,0.939 ,50MU,0.00384401,  0.977 ,96.06%,,0.038,0.1,,,
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,  0.946 ,  0.840 ,0.893 ,10MU,0.000761657,  0.927 ,96.33%,,0.076,0.01,>50,,
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,  0.946 ,  0.840 ,0.893 ,25MU,0.0019041425,  1.636 ,54.58%,,0.076,0.025,,,
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,  0.946 ,  0.840 ,0.893 ,50MU,0.003808285,  1.177 ,75.87%,,0.038,0.1,,,
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,  0.866 ,  0.816 ,0.841 ,10MU,0.000803098,  1.090 ,77.16%,,0.080,0.01,>50,,
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,  0.866 ,  0.816 ,0.841 ,25MU,0.002007745,  1.006 ,83.60%,,0.080,0.025,,,
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,  0.866 ,  0.816 ,0.841 ,50MU,0.00401549,  1.466 ,57.37%,,0.040,0.1,,,
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,  1.068 ,  0.711 ,0.890 ,10MU,0.000675917,  1.088 ,81.76%,,0.068,0.01,>50,,
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,  1.068 ,  0.711 ,0.890 ,25MU,0.0016897925,  1.505 ,59.10%,,0.068,0.025,,,
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,  1.068 ,  0.711 ,0.890 ,50MU,0.003379585,  0.991 ,89.76%,,0.034,0.1,,,
 ZB08 ,T.c.,Dogtown Cr.,5.7,235,308,  0.798 ,  0.706 ,0.752 ,10MU,0.00081453,  0.945 ,79.58%,,0.081,0.01,>50,,
 ZB08 ,T.c.,Dogtown Cr.,5.7,235,308,  0.798 ,  0.706 ,0.752 ,25MU,0.002036325,  1.161 ,64.77%,,0.081,0.025,,,
 ZB08 ,T.c.,Dogtown Cr.,5.7,235,308,  0.798 ,  0.706 ,0.752 ,50MU,0.00407265,  1.272 ,59.12%,,0.041,0.1,,,
 ZB09 ,T.c.,Dogtown Cr.,5.12,237,315,  0.809 ,  0.881 ,0.845 ,10MU,0.000731648,  0.857 ,98.60%,,0.073,0.01,>50,,
 ZB09 ,T.c.,Dogtown Cr.,5.12,237,315,  0.809 ,  0.881 ,0.845 ,25MU,0.00182912,  1.092 ,77.38%,,0.073,0.025,,,
 ZB09 ,T.c.,Dogtown Cr.,5.12,237,315,  0.809 ,  0.881 ,0.845 ,50MU,0.00365824,  0.849 ,99.53%,,0.037,0.1,,,
 ZB10 ,T.c.,Dogtown Cr.,5.57,238,311,  0.920 ,  0.938 ,0.929 ,10MU,0.000795953,  0.802 ,115.84%,,0.080,0.01,>50,,
 ZB10 ,T.c.,Dogtown Cr.,5.57,238,311,  0.920 ,  0.938 ,0.929 ,25MU,0.0019898825,  1.153 ,80.57%,,0.080,0.025,,,
 ZB10 ,T.c.,Dogtown Cr.,5.57,238,311,  0.920 ,  0.938 ,0.929 ,50MU,0.003979765,  1.296 ,71.68%,,0.040,0.1,,,
 ZB11 ,T.c.,Dogtown Cr.,5.59,239,303,  0.989 ,  0.739 ,0.864 ,10MU,0.000798811,  0.708 ,122.03%,,0.080,0.01,>50,,
 ZB11 ,T.c.,Dogtown Cr.,5.59,239,303,  0.989 ,  0.739 ,0.864 ,25MU,0.0019970275,  0.994 ,86.92%,,0.080,0.025,,,
 ZB11 ,T.c.,Dogtown Cr.,5.59,239,303,  0.989 ,  0.739 ,0.864 ,50MU,0.003994055,  1.144 ,75.52%,,0.040,0.1,,,
,,,,,,,,,,,,,,,,,,
  7.013 ,couchii,Indian Jim,79,656,791,0.356,0.591,0.474 ,1MU,0.00112891,0.532,89.00%,0.00001429,0.023,0.05,15.5,,
  7.013 ,couchii,Indian Jim,79,656,791,0.356,0.591,0.474 ,3MU,0.00338673,0.557,85.01%,,0.068,0.05,,,
  7.013 ,couchii,Indian Jim,79,656,791,0.356,0.591,0.474 ,6MU,0.00677346,0.585,80.94%,,0.135,0.05,,,
  7.013 ,couchii,Indian Jim,79,656,791,0.356,0.591,0.474 ,10MU,0.0112891,0.85,55.71%,,0.226,0.05,,,
  7.013 ,couchii,Indian Jim,79,656,791,0.356,0.591,0.474 ,25MU,0.02822275,1.181,40.09%,,0.113,0.25,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,1MU,0.002340702,0.682,80.13%,,0.047,0.05,56.7,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,3MU,0.007022106,0.72,75.90%,,0.140,0.05,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,6MU,0.014044212,1.165,46.91%,,0.281,0.05,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,10MU,0.02340702,0.883,61.89%,,0.468,0.05,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,25MU,0.05851755,0.617,88.57%,,0.117,0.5,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,50MU,0.1170351,0.967,56.51%,,0.234,0.5,,,
  7.014 ,couchii,Rich Bar,163.8,782,970,0.442,0.651,0.547 ,100MU,0.2340702,6.676,8.19%,,0.468,0.5,,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,3MU,0.001003158,0.626,88.18%,,0.201,0.005,47,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,6MU,0.002006316,0.646,85.45%,,0.401,0.005,,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,10MU,0.00334386,0.739,74.70%,,0.067,0.05,,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,25MU,0.00835965,0.707,78.08%,,0.167,0.05,,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,50MU,0.0167193,1.196,46.15%,,0.334,0.05,,,
  7.034 ,couchii,Oligby,23.4,432,566,  0.623 ,  0.481 ,0.552 ,100MU,0.0334386,8.336,6.62%,,0.067,0.5,,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,3MU,0.000402978,0.968,79.86%,,0.081,0.005,87.2,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,6MU,0.000805956,1.412,54.75%,,0.161,0.005,,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,10MU,0.00134326,0.936,82.59%,,0.269,0.005,,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,25MU,0.00335815,1.099,70.34%,,0.067,0.05,,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,50MU,0.0067163,1.282,60.30%,,0.134,0.05,,,
  7.036 ,couchii,S. F. American,9.4,314,407,  0.765 ,  0.781 ,0.773 ,100MU,0.0134326,1.668,46.34%,,0.269,0.05,,,
  7.037 ,couchii,N. F. Mokelumne,252.7,854,1100,  0.579 ,  0.486 ,0.533 ,3MU,0.010833249,0.747,71.29%,,0.217,0.05,10.9,,
  7.037 ,couchii,N. F. Mokelumne,252.7,854,1100,  0.579 ,  0.486 ,0.533 ,6MU,0.021666498,0.556,95.77%,,0.433,0.05,,,
  7.037 ,couchii,N. F. Mokelumne,252.7,854,1100,  0.579 ,  0.486 ,0.533 ,10MU,0.03611083,1.032,51.60%,,0.072,0.5,,,
  7.037 ,couchii,N. F. Mokelumne,252.7,854,1100,  0.579 ,  0.486 ,0.533 ,25MU,0.090277075,2.014,26.44%,,0.181,0.5,,,
  7.037 ,couchii,N. F. Mokelumne,252.7,854,1100,  0.579 ,  0.486 ,0.533 ,50MU,0.18055415,1.968,27.06%,,0.361,0.5,,,
  7.043 ,couchii,Oligby,21.2,411,551,  0.468 ,  0.459 ,0.464 ,25MU,0.0075737,0.885,52.37%,,0.151,0.05,43.4,,
  7.043 ,couchii,Oligby,21.2,411,551,  0.468 ,  0.459 ,0.464 ,50MU,0.0151474,0.942,49.20%,,0.303,0.05,,,
  7.043 ,couchii,Oligby,21.2,411,551,  0.468 ,  0.459 ,0.464 ,100MU,0.0302948,1.049,44.18%,,0.061,0.5,,,
  7.044 ,couchii,Oligby,11.7,345,,  0.683 ,  0.510 ,0.597 ,25MU,0.004179825,0.843,70.76%,,0.084,0.05,>100,,
  7.044 ,couchii,Oligby,11.7,345,,  0.683 ,  0.510 ,0.597 ,50MU,0.00835965,0.979,60.93%,,0.167,0.05,,,
  7.044 ,couchii,Oligby,11.7,345,,  0.683 ,  0.510 ,0.597 ,100MU,0.0167193,0.913,65.33%,,0.033,0.5,,,
  7.045 ,couchii,S. F. American(Silver),11.5,342,453,,  0.620 ,0.620 ,25MU,0.004108375,5.562,11.15%,,0.082,0.05,17.5,,
  7.045 ,couchii,S. F. American(Silver),11.5,342,453,,  0.620 ,0.620 ,10MU,0.00164335,0.698,88.83%,,0.329,0.005,,,
  7.046 ,couchii,S. F. American,76.3,570,,  0.659 ,  0.604 ,0.632 ,25MU,0.027258175,0.904,69.86%,,0.055,0.5,81.5,,
  7.046 ,couchii,S. F. American,76.3,570,,  0.659 ,  0.604 ,0.632 ,50MU,0.05451635,0.904,69.86%,,0.109,0.5,,,
  7.046 ,couchii,S. F. American,76.3,570,,  0.659 ,  0.604 ,0.632 ,100MU,0.1090327,1.715,36.82%,,0.218,0.5,,,
  7.048 ,couchii,S.F.American,  12.7 ,321,419,0.827,0.792,0.810 ,25MU,,,,0.00001429,,,NO RUN,,
  7.048 ,couchii,S.F.American,  12.7 ,321,419,0.827,0.792,0.810 ,50MU,,,,,0.000,0.05,,,
  7.049 ,couchii,N.F. Feather,  24.7 ,405,,0.814,0.808,0.811 ,3MU,0.001058889,0.778,104.24%,,0.021,0.05,8.12,,
  7.049 ,couchii,N.F. Feather,  24.7 ,405,,0.814,0.808,0.811 ,6MU,0.002117778,0.701,115.69%,,0.042,0.05,,,
  7.049 ,couchii,N.F. Feather,  24.7 ,405,,0.814,0.808,0.811 ,10MU,0.00352963,3.297,24.60%,,0.071,0.05,,,
  7.060 ,couchii,N fork Kings R.,  7.5 ,290,384,,1.032,1.032 ,25MU,0.002679375,0.803,128.52%,,0.054,0.05,>100,,
  7.060 ,couchii,N fork Kings R.,  7.5 ,290,384,,1.032,1.032 ,50MU,0.00535875,0.891,115.82%,,0.107,0.05,,,
  7.060 ,couchii,N fork Kings R.,  7.5 ,290,384,,1.032,1.032 ,100MU,0.0107175,1.058,97.54%,,0.214,0.05,,,
  7.061 ,couchii,N fork Kings R.,  42.9 ,523,712,0.566,0.616,0.591 ,25MU,0.015326025,1.127,52.44%,,0.307,0.05,26.4,,
  7.061 ,couchii,N fork Kings R.,  42.9 ,523,712,0.566,0.616,0.591 ,50MU,0.03065205,6.201,9.53%,,0.061,0.5,,,
  7.062 ,couchii,S fork American R.,  41.5 ,531,715,0.74,0.822,0.781 ,25MU,0.014825875,0.815,95.83%,,0.297,0.05,82.8,,
  7.062 ,couchii,S fork American R.,  41.5 ,531,715,0.74,0.822,0.781 ,50MU,0.02965175,0.539,144.90%,,0.059,0.5,,,
  7.062 ,couchii,S fork American R.,  41.5 ,531,715,0.74,0.822,0.781 ,100MU,0.0593035,3.287,23.76%,,0.119,0.5,,,
,,,,,,,,,,,,,,,,,,
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954 ,10MU,0.00334386,7.978,11.96%,,0.067,0.05,3.06,,
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954 ,1MU,0.000334386,1.125,84.80%,,0.067,0.005,,,
